生产车间,抽检单号,样品编号,品种等级,供应单位,批号,取样日期,检测日期,取样基数(t),取样人,样品到期处理日期,样品到期处理人,样品到期处理批准人,推荐掺量(%),pH值,减水率(%),含气量(%),抗压强度比3d,抗压强度比7d,抗压强度比28d,泌水率比(%),初凝时间差△T(min),终凝时间差△T(min),备注,检测人,录入时间
长寿站,007141800001,007141800001,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-0035,2018-01-03 10:02:45,2018-01-03 00:00:00,36,朱多,,,,1.5,6.9,33.8,,,155,144,,175,215,,龙霞,2018-03-19 13:44:40
长寿站,007141800002,007141800002,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-0382,2018-01-10 10:25:29,2018-01-10 00:00:00,36,朱多,,,,1.5,6.4,31.7,,,154,143,,135,225,,龙霞,2018-03-19 13:45:59
长寿站,007141800003,007141800003,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-0568,2018-01-14 06:12:16,2018-01-14 00:00:00,36,朱多,,,,1.5,6.4,31.7,,,154,143,,110,240,,龙霞,2018-03-19 13:46:32
长寿站,007141800004,007141800004,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-0667,2018-01-17 18:39:34,2018-01-17 00:00:00,36,朱多,,,,1.5,5.8,29.5,,,153,141,,155,225,,龙霞,2018-03-19 13:46:47
长寿站,007141800005,007141800005,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-0708,2018-01-20 10:21:37,2018-01-20 00:00:00,36,朱多,,,,1.5,5.8,29.5,,,153,141,,135,220,,龙霞,2018-03-19 13:51:24
长寿站,007141800006,007141800006,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-0986,2018-01-24 09:39:42,2018-01-24 00:00:00,37,朱多,,,,1.5,6.1,30.5,,,153,142,,175,245,,龙霞,2018-03-19 13:47:28
长寿站,007141800007,007141800007,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-1323,2018-01-31 08:39:54,2018-01-31 00:00:00,36,朱多,,,,1.5,5.6,28.4,,,152,140,,170,215,,龙霞,2018-03-19 13:47:55
长寿站,007141800008,007141800008,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201802-0168,2018-02-07 10:07:15,2018-02-07 00:00:00,37,朱多,,,,1.5,5.6,28.4,,,152,140,,150,220,,龙霞,2018-03-19 13:51:44
长寿站,007141800009,007141800009,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201802-0269,2018-02-11 07:47:06,2018-02-11 00:00:00,36,杨帆,,,,1.5,5.8,29.4,,,152,141,,115,245,,龙霞,2018-03-19 13:49:23
长寿站,007141800010,007141800010,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201803-0046,2018-03-07 08:17:35,2018-03-07 00:00:00,36,杨帆,,,,1.5,6,30.2,,,153,141,,115,215,,龙霞,2018-03-19 13:49:46
长寿站,007141800011,007141800011,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201803-0146,2018-03-11 09:20:14,2018-03-11 00:00:00,36,杨帆,,,,1.5,6.6,32.6,,,155,143,,125,250,,龙霞,2018-04-28 16:25:19
长寿站,007141800012,007141800012,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201803-0346,2018-03-16 11:17:54,2018-03-16 00:00:00,36,孙浩,,,,1.5,5.6,28.7,,,152,140,,175,195,,龙霞,2018-03-19 13:50:46
长寿站,007141800013,007141800013,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201803-0399,2018-03-21 08:59:51,2018-03-21 00:00:00,36,孙浩,,,,1.5,6.9,33.7,,,155,144,,165,200,,龙霞,2018-04-28 16:25:06
长寿站,007141800014,007141800014,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201803-0766,2018-03-27 08:32:05,2018-03-27 00:00:00,36,江超,,,,1.5,5.9,29.9,,,153,141,,165,190,,龙霞,2018-04-28 16:25:38
长寿站,007141800015,007141800015,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201804-0018,2018-04-03 12:26:51,2018-04-03 00:00:00,36,孙浩,,,,1.5,6,30.1,,,153,141,,170,230,,龙霞,2018-06-01 08:48:56
长寿站,007141800016,007141800016,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201804-0566,2018-04-09 10:24:19,2018-04-09 00:00:00,36,孙浩,,,,1.5,5.8,29.4,,,152,141,,170,215,,龙霞,2018-06-01 08:49:17
长寿站,007141800017,007141800017,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201804-0886,2018-04-14 09:50:46,2018-04-14 00:00:00,36,杨帆,,,,1.5,6.1,30.4,,,153,142,,185,230,,龙霞,2018-06-01 08:49:34
长寿站,007141800018,007141800018,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201804-1322,2018-04-20 07:34:11,2018-04-20 00:00:00,36,杨帆,,,,1.5,6.1,30.4,,,153,142,,155,240,,龙霞,2018-06-01 08:49:51
长寿站,007141800019,007141800019,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201804-1656,2018-04-25 10:08:17,2018-04-25 00:00:00,36,杨帆,,,,1.5,5.5,28.2,,,152,140,,165,210,,龙霞,2018-06-01 08:50:07
大渡口站,012141800001,012141800001,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201712-1686,2018-01-01 23:17:43,2018-01-01 00:00:00,32,陈馨,,,,1.5,6.6,32.4,,,154,143,,120,205,,卢燕,2018-03-07 15:55:09
大渡口站,012141800003,012141800003,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,2018-0168,2018-01-06 07:13:09,2018-01-06 00:00:00,34,陈馨,,,,1.5,6.3,31.5,,,154,142,,110,215,,卢燕,2018-03-08 08:41:58
大渡口站,012141800006,012141800005,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,/,2018-01-11 06:55:48,2018-01-11 00:00:00,34,陈馨,,,,1.5,6.6,33.6,,,155,143,,165,205,,卢燕,2018-03-08 08:42:32
大渡口站,012141800009,012141800008,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,201801-0002,2018-01-15 07:10:41,2018-01-15 00:00:00,33,陈馨,,,,1.5,6.2,30.9,,,153,142,,165,225,,卢燕,2018-03-08 08:43:25
大渡口站,012141800011,012141800010,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,/,2018-01-21 06:30:49,2018-01-21 00:00:00,33,陈馨,,,,1.5,6,30,,,153,141,,180,215,,卢燕,2018-03-08 08:43:59
大渡口站,012141800013,012141800012,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,/,2018-01-23 07:06:28,2018-01-23 00:00:00,44,陈馨,,,,1.5,6.2,31.1,,,154,142,,115,215,,卢燕,2018-03-08 08:44:29
大渡口站,012141800014,012141800013,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,/,2018-01-25 07:04:37,2018-01-25 00:00:00,35,陈馨,,,,1.5,6.2,31.1,,,154,142,,130,215,,卢燕,2018-03-08 08:44:44
大渡口站,012141800017,012141800016,聚羧酸高性能减水剂-缓凝型,江苏苏博特新材料股份有限公司,、,2018-01-31 09:10:23,2018-01-31 00:00:00,32,陈馨,,,,1.5,5.6,28.5,,,152,140,,120,225,,卢燕,2018-03-08 08:46:05
南部公司,015141800001,015141800001,聚羧酸高性能减水剂-标准型,重庆汇典建材有限公司,01801001-1,2018-01-03 08:36:14,2018-01-03 00:00:00,33,刘道胜,,,,1.5,6.2,31.1,,174,154,142,,,,,詹静,2018-03-21 11:57:34
南部公司,015141800003,015141800003,聚羧酸高性能减水剂-标准型,重庆汇典建材有限公司,01801006-1,2018-01-06 07:46:55,2018-01-06 00:00:00,33,刘道胜,,,,1.5,6.2,31.1,,174,154,142,,,,,詹静,2018-03-21 11:58:05
南部公司,015141800005,015141800005,聚羧酸高性能减水剂-标准型,重庆汇典建材有限公司,018010012-1,2018-01-12 13:44:45,2018-01-12 00:00:00,33,刘道胜,,,,1.5,5.7,28.9,,172,152,140,,,,,詹静,2018-03-21 12:00:06
南部公司,015141800007,015141800007,聚羧酸高性能减水剂-标准型,重庆汇典建材有限公司,018010017,2018-01-17 12:20:34,2018-01-17 00:00:00,33,周龙龙,,,,1.5,6.7,32.8,,175,155,144,,,,,詹静,2018-03-21 12:00:32
南部公司,015141800009,015141800009,聚羧酸高性能减水剂-标准型,重庆汇典建材有限公司,01801022-1,2018-01-22 08:09:45,2018-01-22 00:00:00,33,周龙龙,,,,1.5,6.7,32.8,,175,155,144,,,,,詹静,2018-03-21 12:00:55
南部公司,015141800011,015141800011,聚羧酸高性能减水剂-标准型,重庆汇典建材有限公司,018010026,2018-01-26 10:25:20,2018-01-26 00:00:00,33,周龙龙,,,,1.5,6.9,33.8,,175,155,144,,,,,詹静,2018-03-21 12:01:29
