生产车间,样品编号,品种等级,供应单位,批号,取样日期,检测日期,取样基数(t),取样人,样品到期处理日期,样品到期处理人,样品到期处理批准人,细度(%),初凝,终凝,限制膨胀率(简易实验),7d抗压强度(MPa),28d抗压强度(MPa),报告日期,备注,检测人,录入时间
长寿站,007151800001,Ⅱ型硫铝酸钙-氧化钙类,重庆三圣实业股份有限公司,S18003,2018-01-17 12:29:46,2018-01-23 00:00:00,36.62,朱多,,,,,140,190,2,28,40,,,江超,2018-03-04 09:41:44
长寿站,007151800002,Ⅱ型硫铝酸钙-氧化钙类,重庆三圣实业股份有限公司,SZC18013,2018-02-05 08:37:16,2018-02-06 00:00:00,36.5,朱多,,,,,170,240,2,30.7,43.6,,,汪洲鑫,2018-03-07 17:13:34
长寿站,007151800003,Ⅱ型硫铝酸钙-氧化钙类,重庆三圣实业股份有限公司,SZC18049,2018-05-11 11:31:08,2018-05-15 00:00:00,36.24,杨帆,,,,,160,240,3,28.5,41.4,,,江超,2018-06-12 17:34:37
长寿站,007151800004,Ⅰ型硫铝酸钙类,重庆三圣实业股份有限公司,S18025,2018-06-12 13:01:30,2018-06-12 00:00:00,36.08,江超,,,,,200,270,2,,,,,孙浩,2018-06-14 18:21:37
大渡口站,012151800001,Ⅰ型硫铝酸钙类,重庆森轩建材有限公司,/,2018-01-02 22:53:59,2018-01-03 00:00:00,34.74,陈馨,2018-06-14 08:47:23,杨勇,陈馨,,133,182,5,35.3,47.3,,,卢燕,2018-03-29 08:24:31
大渡口站,012151800002,Ⅰ型硫铝酸钙类,重庆森轩建材有限公司,/,2018-01-07 22:45:27,2018-01-08 00:00:00,47.88,陈馨,2018-06-14 08:47:24,杨勇,陈馨,,134,226,4,34.5,45.3,,,卢燕,2018-03-29 08:24:45
大渡口站,012151800003,Ⅰ型硫铝酸钙类,重庆三圣特种建材股份有限公司(暂停使用）,/,2018-01-19 23:00:03,2018-01-19 00:00:00,45.7,陈馨,2018-06-14 08:47:25,杨勇,陈馨,,129,194,1,33.7,44.7,2018-02-17 00:00:00,,卢燕,2018-03-29 08:31:07
大渡口站,012151800004,Ⅰ型硫铝酸钙类,重庆三圣特种建材股份有限公司(暂停使用）,/,2018-01-23 23:16:04,2018-01-24 00:00:00,45.06,陈馨,2018-06-14 08:47:26,杨勇,陈馨,,169,235,,31.3,43.7,,,蒋合军,2018-03-05 14:40:14
大渡口站,012151800005,Ⅰ型硫铝酸钙类,重庆三圣特种建材股份有限公司(暂停使用）,/,2018-02-06 22:56:59,2018-02-07 00:00:00,45.92,陈馨,2018-06-14 08:47:27,杨勇,陈馨,,157,220,1,30.2,46.7,,,卢燕,2018-03-29 08:31:40
大渡口站,012151800006,Ⅰ型硫铝酸钙类,重庆三圣特种建材股份有限公司(暂停使用）,/,2018-02-07 23:38:15,2018-02-08 00:00:00,37.58,陈馨,2018-06-14 08:47:28,杨勇,陈馨,,143,203,2,31.4,48.7,,,卢燕,2018-03-29 08:32:03
大渡口站,012151800007,Ⅰ型硫铝酸钙类,两江新区德鑫建材经营部,P201801200106,2018-03-19 22:48:17,2018-03-20 00:00:00,47.26,陈馨,2018-06-14 08:47:29,杨勇,陈馨,,156,193,1,41.6,,,,卢燕,2018-03-29 08:32:22
大渡口站,012151800008,Ⅰ型硫铝酸钙类,两江新区德鑫建材经营部,/,2018-03-27 23:24:25,2018-03-27 00:00:00,43.56,陈馨,2018-06-14 08:47:30,杨勇,陈馨,,131,227,1,,,,,卢燕,2018-03-29 08:32:36
大渡口站,012151800009,Ⅰ型硫铝酸钙类,两江新区德鑫建材经营部,P201802020226,2018-04-02 22:56:53,2018-04-11 00:00:00,47.3,陈馨,2018-06-14 08:47:32,杨勇,陈馨,,126,201,3,36.3,48,,,陈常东,2018-06-19 15:10:20
大渡口站,012151800010,Ⅰ型硫铝酸钙类,两江新区德鑫建材经营部, ,2018-04-09 23:12:07,2018-04-10 00:00:00,47.36,陈馨,2018-06-14 08:47:33,杨勇,陈馨,,131,207,2,38.1,45.3,2018-05-09 00:00:00,,陈常东,2018-06-08 12:25:11
大渡口站,012151800011,Ⅰ型硫铝酸钙类,渝北区森志建材经营部,GB8076-2008,2018-04-29 22:53:53,2018-04-24 00:00:00,36.7,陈馨,2018-06-14 08:47:35,杨勇,陈馨,,132,211,4,41,44,,,陈常东,2018-06-19 15:11:46
大渡口站,012151800012,Ⅱ型氧化钙类,重庆森轩建材有限公司,/,2018-05-05 02:06:16,2018-05-02 00:00:00,48.06,陈馨,2018-06-14 08:47:36,杨勇,陈馨,,161,195,3,35.2,44.6,,,陈常东,2018-06-19 15:13:06
大渡口站,012151800013,Ⅰ型硫铝酸钙类,两江新区德鑫建材经营部,/,2018-05-15 00:29:07,2018-05-15 00:00:00,44.92,陈馨,,,,,134,204,,36.6,44.2,,,陈常东,2018-06-19 15:16:36
南部公司,015151800001,TL-KF,山西铁力建材有限公司（轨道十号线甲供）,012017120808,2018-01-11 09:32:22,2018-01-23 00:00:00,-36.52,周龙龙,2018-03-19 11:03:17,刘道胜,周龙龙,,123,225,1,36.3,51.9,,,刘道胜,2018-03-07 09:21:03
南部公司,015151800002,,山西铁力建材有限公司（轨道十号线甲供）,,2018-01-11 10:58:48,,19.88,周龙龙,2018-03-19 11:03:18,刘道胜,周龙龙,,,,,,,,,,
南部公司,015151800003,,重庆森轩建材有限公司,,2018-04-14 12:36:40,,-19.26,周龙龙,,,,,,,,,,,,,
南部公司,015151800004,Ⅰ型硫铝酸钙类,重庆森轩建材有限公司,0001961,2018-04-14 14:08:42,2018-04-25 00:00:00,29.16,周龙龙,,,,,138,229,2,32.4,,,,刘道胜,2018-04-26 10:57:00
南部公司,015151800005,,重庆森轩建材有限公司,,2018-04-28 11:33:30,,29.26,马西锋,,,,,,,,,,,,,
寸滩站,023151800001,TL-KF,山西铁力建材有限公司（轨道十号线甲供）,171210,2018-01-15 03:36:25,2018-01-16 00:00:00,61.28,朱文武,,,,,145,218,3,35.8,47.4,,,陈尚林,2018-02-13 15:07:56
寸滩站,023151800002,TL-KF,山西铁力建材有限公司（轨道十号线甲供）,012017121608,2018-01-18 15:04:19,2018-01-19 00:00:00,48.9,朱文武,,,,,137,200,3,31.5,,,,陈尚林,2018-01-30 16:23:49
寸滩站,023151800003,TL-KF,山西铁力建材有限公司（轨道十号线甲供）,171223,2018-01-28 16:59:28,2018-01-29 00:00:00,61.06,朱文武,,,,,174,198,3,,,2018-02-27 00:00:00,,陈尚林,2018-02-20 11:45:38
寸滩站,023151800004,TL-KF,山西铁力建材有限公司（轨道十号线甲供）,012017122608,2018-01-28 21:13:57,2018-01-30 00:00:00,49.48,朱多,2018-03-20 10:47:38,朱文武,,,170,193,,36.4,50.7,,,陈尚林,2018-02-27 13:30:58
寸滩站,023151800005,TL-KF,山西铁力建材有限公司（轨道十号线甲供）,012018010508,2018-02-07 12:04:54,2018-02-08 00:00:00,50,朱文武,2018-03-20 10:48:09,朱文武,,,129,216,4,,,,,陈尚林,2018-02-20 11:45:00
